GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
101_netweaver,com.sap.netweaver.porta.ide.eclipse,SapNWPlugin.new Runnable() {...},21,0,0,0,3,0,2,0,2,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse,SapNWPlugin,94,0,2,0,30,0,12,0,11,0
101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.holders,ArrayOfStringHolder,9,0,0,0,5,0,2,0,2,0
101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.holders,ArrayOfAlertHolder,9,0,0,0,5,0,2,0,2,0
101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.holders,STATECOLORHolder,9,0,0,0,5,0,2,0,2,0
101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.holders,AlertHolder,9,0,0,0,5,0,2,0,2,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.runtime,SapNWRuntime,138,0,10,0,27,0,13,0,8,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.runtime,SapNW711Runtime,162,0,0,0,5,0,4,0,4,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.runtime,SapNW710Runtime,162,0,0,0,5,0,4,0,4,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.runtime,SapNWRuntimeClasspathProvider,162,0,28,0,35,0,18,0,4,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.runtime,SapNW720Runtime,138,0,0,0,5,0,4,0,4,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.editor,SapNWInstanceEditorSection,137,0,2,0,36,0,4,0,3,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,SAPInstance,359,0,52,0,88,0,42,0,16,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ACOperationCode,105,0,4,0,26,0,14,0,12,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,SAPHostControl_BindingStub,4982,0,176,0,1061,0,115,0,27,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ACOperationArguments,231,0,32,0,58,0,28,0,12,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,SAPHostControl_ServiceLocator,209,0,12,0,52,0,21,0,15,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,OperationOptions,242,0,30,0,61,0,27,0,12,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceStatus,100,0,4,0,25,0,14,0,12,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceOptionsFlags,115,0,4,0,28,0,14,0,12,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,Property,231,0,32,0,58,0,28,0,12,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,DatabaseComponent,251,0,38,0,63,0,31,0,12,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceServiceOperation,225,0,32,0,56,0,28,0,12,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ResponseMessage,231,0,32,0,58,0,28,0,12,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ServiceType,100,0,4,0,25,0,14,0,12,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,OperationCode,100,0,4,0,25,0,14,0,12,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,TargetService,225,0,32,0,56,0,28,0,12,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,Database,338,0,54,0,84,0,41,0,14,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,DatabaseStatus,125,0,4,0,30,0,14,0,12,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,CIMAttribute,295,0,42,0,73,0,35,0,14,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,CancelOperationType,95,0,4,0,24,0,14,0,12,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,OperationResult,254,0,38,0,64,0,31,0,12,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceSelector,228,0,32,0,57,0,28,0,12,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ServiceIdentifier,167,0,22,0,43,0,21,0,10,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ACOperation,251,0,38,0,63,0,31,0,12,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,OperationException,379,0,50,0,94,0,42,0,17,0
101_netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,CIMObject,283,0,44,0,72,0,34,0,12,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.control,SapNWLaunchConfigurationDelegate,23,0,2,0,7,0,3,0,2,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.control,SapNWPublishTask,267,0,42,0,39,0,28,0,7,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.control,SapNWPublishOperation.new UIJob() {...},21,0,0,0,3,0,2,0,2,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.control,SapNWPublishOperation.new UIJob() {...},21,0,0,0,3,0,2,0,2,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.control,SapNWPublishOperation,359,0,32,0,100,0,28,0,12,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.control,AuthCallback.ShowDialogRunnable,65,0,6,0,17,0,7,0,4,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.control,SapNWLaunchableAdapterDelegate,103,0,16,0,24,0,10,0,2,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.control,PublishException,23,0,3,0,8,0,5,0,3,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.control,SapNWLaunchConfigurationTabGroup,38,0,0,0,8,0,2,0,2,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.control,SapNWSourcePathComputerDelegate,199,0,18,0,40,0,12,0,3,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.control,ModuleExportOperation,128,0,12,0,32,0,12,0,6,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.control,AuthCallback,58,0,8,0,21,0,7,0,2,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.control,SapNWServerBehavior,565,0,70,0,148,0,59,0,24,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server,SapNWServer,445,0,50,0,96,0,45,0,20,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server,SapNWRefreshStateJob,45,0,4,0,13,0,4,0,2,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.wizard,SapNWServerComposite,419,0,38,0,98,0,29,0,10,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.wizard,SapNWServerComposite.3.new Runnable() {...},42,0,0,0,10,0,2,0,2,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.wizard,SapNWRuntimeComposite,420,0,18,0,85,0,14,0,5,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.wizard,SapNWServerWizardFragment,156,0,16,0,36,0,16,0,8,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.wizard,SapNWServerComposite.new ModifyListener() {...},23,0,0,0,5,0,2,0,2,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.wizard,SapNWServerComposite.new ModifyListener() {...},26,0,0,0,7,0,2,0,2,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.wizard,SapNWServerComposite.new SelectionAdapter() {...},16,0,0,0,3,0,2,0,2,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.wizard,SapNWRuntimeWizardFragment,220,0,28,0,52,0,23,0,9,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.wizard,SapNWRuntimeComposite.new SelectionAdapter() {...},15,0,0,0,3,0,2,0,2,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.wizard,SapNWRuntimeComposite.new ModifyListener() {...},21,0,0,0,4,0,2,0,2,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.wizard,SapNWRuntimeComposite.new SelectionAdapter() {...},33,0,2,0,8,0,3,0,2,0
101_netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.wizard,SapNWRuntimeComposite.new ModifyListener() {...},18,0,0,0,4,0,2,0,2,0
101_netweaver,com.sap.netweaver.porta.mon,StopAppCommand,60,0,2,0,14,0,3,0,2,0
101_netweaver,com.sap.netweaver.porta.mon,CommandFactory,67,0,13,0,15,0,14,0,2,0
101_netweaver,com.sap.netweaver.porta.mon,StateCommand,46,0,0,0,9,0,2,0,2,0
101_netweaver,com.sap.netweaver.porta.mon,AppCommand,51,0,6,0,10,0,7,0,4,0
101_netweaver,com.sap.netweaver.porta.mon,PortaMon,251,0,10,0,81,0,19,0,14,0
101_netweaver,com.sap.netweaver.porta.mon,StartAppCommand,60,0,2,0,14,0,3,0,2,0
101_netweaver,com.sap.netweaver.porta.mon,StartCommand,37,0,0,0,9,0,2,0,2,0
101_netweaver,com.sap.netweaver.porta.mon,ListAppsCommand,142,0,2,0,30,0,3,0,2,0
101_netweaver,com.sap.netweaver.porta.mon,DisableDebuggingCommand,48,0,0,0,12,0,3,0,3,0
